"record","year","month","day","length","weight","fit","res"
1,1980,5,22,41,580,6.399,-0.036
2,1980,5,22,65,2210,7.851,-0.15
3,1980,5,24,20,50,4.139,-0.226
4,1980,11,23,38,630,6.16,0.286
5,1981,4,7,81,5210,8.544,0.014
6,1981,11,21,85,6800,8.696,0.129
7,1982,3,14,48,1030,6.896,0.041
8,1982,3,23,42,630,6.475,-0.03
9,1982,5,7,54,1450,7.267,0.012
10,1982,11,9,90,6880,8.876,-0.04
11,1982,11,22,92,7630,8.945,-0.005
12,1983,3,19,86,5410,8.733,-0.137
13,1983,3,25,71,3810,8.129,0.116
14,1983,7,12,124,16800,9.885,-0.156
15,1983,7,27,53,1240,7.208,-0.085
16,1983,7,27,45,840,6.693,0.041
17,1983,8,1,96,7280,9.079,-0.186
18,1983,10,25,20,60,4.139,-0.044
19,1983,11,5,34,400,5.81,0.182
20,1983,12,3,23,100,4.579,0.026
21,1984,5,19,103,10330,9.301,-0.058
22,1984,8,13,85,4550,8.696,-0.273
23,1984,8,20,97,9580,9.112,0.056
24,1984,11,26,88,5970,8.805,-0.111
25,1985,1,16,34,350,5.81,0.048
26,1985,3,21,71,3300,8.129,-0.027
27,1985,3,23,47,800,6.83,-0.145
28,1985,3,23,38,430,6.16,-0.096
29,1985,3,23,58,1800,7.492,0.004
30,1985,8,20,55,1530,7.325,0.008
31,1985,10,25,48,1060,6.896,0.07
32,1985,10,26,51,1350,7.087,0.121
33,1985,10,26,49,1110,6.961,0.051
34,1985,10,29,40,620,6.322,0.108
35,1985,10,30,107,11390,9.421,-0.08
36,1986,1,18,79,4750,8.465,0.001
37,1986,1,18,59,1870,7.546,-0.012
38,1986,2,12,33,280,5.716,-0.081
39,1986,2,16,73,3430,8.216,-0.076
40,1986,8,24,37,370,6.076,-0.163
41,1986,8,24,37,380,6.076,-0.136
42,1986,11,5,63,2210,7.752,-0.052
43,1986,11,17,75,3940,8.302,-0.023
44,1986,11,29,33,280,5.716,-0.081
45,1987,2,12,55,1560,7.325,0.028
46,1987,6,20,56,1380,7.381,-0.152
47,1987,6,20,23,90,4.579,-0.079
48,1987,8,3,92,6600,8.945,-0.15
49,1987,8,5,32,280,5.619,0.016
50,1987,8,5,66,2720,7.899,0.009
51,1987,10,20,37,400,6.076,-0.085
52,1987,11,1,61,2090,7.651,-0.006
53,1987,11,30,36,450,5.99,0.119
54,1988,2,16,42,640,6.475,-0.014
55,1988,2,20,71,2910,8.129,-0.153
56,1988,10,27,45,720,6.693,-0.113
57,1988,10,27,65,2200,7.851,-0.155
58,1988,11,1,106,13050,9.391,0.085
59,1988,11,6,70,3200,8.084,-0.013
60,1988,11,7,30,250,5.416,0.106
61,1988,11,21,43,780,6.549,0.11
62,1988,11,25,44,860,6.622,0.135
63,1988,12,3,88,6730,8.805,0.009
64,1989,2,22,42,610,6.475,-0.062
65,1989,11,2,40,560,6.322,0.006
66,1989,11,3,69,3690,8.039,0.174
67,1989,11,12,65,3180,7.851,0.214
68,1989,11,15,29,200,5.309,-0.01
69,1989,11,26,17,40,3.627,0.062
70,1989,12,7,43,630,6.549,-0.104
71,1989,12,9,27,180,5.084,0.109
72,1990,2,11,43,640,6.549,-0.088
73,1990,2,19,66,2350,7.899,-0.137
74,1990,3,4,53,1250,7.208,-0.077
75,1990,5,19,78,4480,8.425,-0.018
76,1990,5,19,28,160,5.198,-0.123
77,1990,5,24,77,4830,8.385,0.098
78,1990,5,26,68,3100,7.993,0.046
79,1990,5,28,33,300,5.716,-0.012
80,1990,6,2,76,4320,8.343,0.028
81,1990,8,10,30,220,5.416,-0.022
82,1990,10,19,45,780,6.693,-0.033
83,1990,11,7,56,1580,7.381,-0.016
84,1990,11,11,29,210,5.309,0.038
85,1990,11,17,35,380,5.901,0.039
86,1990,11,17,27,170,5.084,0.052
87,1990,11,23,70,3790,8.084,0.156
88,1990,11,25,18,40,3.807,-0.118
89,1990,11,25,69,2730,8.039,-0.127
90,1990,11,28,29,210,5.309,0.038
91,1990,11,29,27,170,5.084,0.052
92,1990,11,29,41,610,6.399,0.014
93,1990,11,30,55,1680,7.325,0.102
94,1990,12,1,72,3930,8.173,0.103
95,1990,12,7,47,970,6.83,0.048
96,1990,12,7,43,770,6.549,0.097
97,1991,2,8,32,270,5.619,-0.02
98,1991,2,22,70,2730,8.084,-0.172
99,1991,2,22,66,2470,7.899,-0.087
100,1991,3,16,42,580,6.475,-0.112
101,1991,3,16,47,900,6.83,-0.027
102,1991,3,25,42,570,6.475,-0.13
103,1991,3,25,72,3100,8.173,-0.134
104,1991,3,25,41,520,6.399,-0.146
105,1991,3,25,37,440,6.076,0.011
106,1991,5,20,19,50,3.977,-0.065
107,1991,5,22,36,390,5.99,-0.024
108,1991,5,24,51,1050,7.087,-0.13
109,1991,8,6,34,330,5.81,-0.011
110,1991,11,11,42,760,6.475,0.158
111,1991,11,12,41,590,6.399,-0.019
112,1991,11,16,26,130,4.965,-0.097
113,1991,11,16,45,680,6.693,-0.171
114,1991,11,18,49,1100,6.961,0.042
115,1991,11,18,44,790,6.622,0.05
116,1991,11,20,49,1080,6.961,0.024
117,1991,11,26,45,820,6.693,0.017
118,1991,11,28,42,600,6.475,-0.078
119,1991,12,11,45,790,6.693,-0.021
120,1991,12,13,58,1840,7.492,0.026
121,1992,3,1,58,1650,7.492,-0.083
122,1992,4,15,37,420,6.076,-0.036
123,1992,4,23,35,350,5.901,-0.043
124,1992,5,31,52,1150,7.148,-0.101
125,1992,11,7,45,970,6.693,0.185
126,1992,11,9,49,1220,6.961,0.146
127,1992,11,10,62,2860,7.702,0.257
128,1992,11,11,40,530,6.322,-0.049
129,1992,11,26,47,1050,6.83,0.127
130,1992,12,3,50,900,7.025,-0.222
131,1993,2,23,31,260,5.519,0.042
132,1993,2,28,58,1740,7.492,-0.03
133,1993,6,3,40,440,6.322,-0.235
134,1993,6,4,42,520,6.475,-0.222
135,1993,6,4,56,1100,7.381,-0.378
136,1993,8,11,61,1810,7.651,-0.15
137,1993,11,5,34,280,5.81,-0.175
138,1993,11,23,33,310,5.716,0.021
139,1993,12,1,54,1620,7.267,0.123
140,1994,2,28,42,560,6.475,-0.147
141,1994,2,28,40,570,6.322,0.024
142,1994,3,3,34,320,5.81,-0.041
143,1994,5,29,26,140,4.965,-0.023
144,1994,6,5,40,500,6.322,-0.107
145,1995,1,11,39,600,6.242,0.155
146,1995,2,2,22,80,4.439,-0.057
147,1995,7,14,41,610,6.399,0.014
148,1995,8,15,58,1630,7.492,-0.096
149,1995,8,29,63,2260,7.752,-0.029
150,1995,12,5,30,270,5.416,0.183
151,1995,12,6,40,60,6.322,-2.227
152,1995,12,6,27,170,5.084,0.052
153,1995,12,16,15,30,3.232,0.169
154,1996,6,8,53,1340,7.208,-0.008
155,1996,6,20,48,960,6.896,-0.029
156,1996,7,16,63,2650,7.752,0.13
157,1996,7,31,77,4740,8.385,0.079
158,1996,8,6,62,2890,7.702,0.267
159,1996,8,14,57,2050,7.437,0.188
160,1996,8,20,67,3090,7.946,0.09
161,1996,9,18,40,650,6.322,0.155
162,1996,9,18,42,730,6.475,0.118
163,1996,10,31,25,140,4.841,0.1
164,1996,11,9,47,930,6.83,0.006
165,1996,11,10,37,440,6.076,0.011
166,1996,11,10,20,60,4.139,-0.044
167,1996,11,10,16,30,3.436,-0.034
168,1996,11,11,32,280,5.619,0.016
169,1996,11,15,36,380,5.99,-0.05
170,1996,11,15,28,220,5.198,0.195
171,1996,11,16,25,130,4.841,0.026
172,1997,1,25,33,300,5.716,-0.012
173,1997,7,10,56,1440,7.381,-0.109
174,1997,7,23,58,2070,7.492,0.143
175,1997,7,29,33,490,5.716,0.479
176,1997,8,21,50,1080,7.025,-0.04
177,1997,8,23,62,2170,7.702,-0.02
178,1997,8,27,63,2660,7.752,0.134
179,1997,9,8,73,3520,8.216,-0.05
180,1997,9,27,63,2470,7.752,0.06
181,1997,10,7,91,7660,8.911,0.033
182,1997,10,7,38,460,6.16,-0.029
183,1997,11,10,47,860,6.83,-0.073
184,1997,11,11,34,330,5.81,-0.011
185,1997,11,12,39,600,6.242,0.155
186,1997,11,14,48,830,6.896,-0.175
187,1997,12,9,38,480,6.16,0.014
188,1998,6,30,64,2030,7.802,-0.186
189,1998,7,22,44,810,6.622,0.075
190,1998,7,28,73,4280,8.216,0.145
191,1998,8,26,69,3530,8.039,0.13
192,1998,8,27,63,2300,7.752,-0.012
193,1998,10,20,22,80,4.439,-0.057
194,1998,10,22,38,520,6.16,0.094
195,1998,10,31,43,670,6.549,-0.042
196,1998,11,4,50,1210,7.025,0.074
197,1998,11,5,22,100,4.439,0.166
198,1998,11,25,43,670,6.549,-0.042
199,1999,6,16,55,1540,7.325,0.015
200,1999,6,17,85,6150,8.696,0.028
201,1999,6,20,69,3100,8.039,0
202,1999,6,28,31,250,5.519,0.003
203,1999,6,28,32,290,5.619,0.051
204,1999,6,28,67,2280,7.946,-0.214
205,1999,6,29,63,2140,7.752,-0.084
206,1999,7,13,59,2250,7.546,0.173
207,1999,7,22,71,2690,8.129,-0.232
208,1999,11,22,14,20,3.015,-0.019
209,1999,11,23,29,200,5.309,-0.01
210,1999,12,7,44,720,6.622,-0.043
211,2000,6,9,44,640,6.622,-0.16
212,2000,6,27,64,2510,7.802,0.026
213,2000,7,13,44,660,6.622,-0.13
214,2000,8,15,70,3560,8.084,0.093
215,2000,8,22,61,2160,7.651,0.027
216,2000,8,24,57,1780,7.437,0.047
217,2000,8,24,56,2040,7.381,0.239
218,2000,8,31,60,2470,7.599,0.213
219,2000,11,2,44,690,6.622,-0.085
220,2000,11,12,47,810,6.83,-0.133
221,2000,11,19,19,60,3.977,0.117
222,2000,11,22,24,130,4.713,0.155
223,2000,11,23,60,1800,7.599,-0.103
224,2000,11,30,41,570,6.399,-0.054
225,2000,12,6,31,250,5.519,0.003
226,2000,12,9,12,10,2.53,-0.227
227,2000,12,10,21,60,4.292,-0.198
228,2001,6,18,29,190,5.309,-0.062
229,2001,6,19,23,90,4.579,-0.079
230,2001,7,4,45,940,6.693,0.153
231,2001,7,10,57,1870,7.437,0.096
232,2001,7,31,79,4350,8.465,-0.087
233,2001,8,1,62,1910,7.702,-0.147
234,2001,9,5,67,2650,7.946,-0.064
235,2001,11,25,36,370,5.99,-0.076
236,2001,11,26,41,620,6.399,0.03
237,2001,12,1,33,350,5.716,0.142
238,2001,12,1,37,480,6.076,0.098
239,2001,12,2,39,520,6.242,0.012
240,2001,12,4,47,960,6.83,0.037
241,2001,12,6,18,40,3.807,-0.118
242,2001,12,7,29,200,5.309,-0.01
243,2001,12,7,38,440,6.16,-0.073
244,2001,12,7,53,1160,7.208,-0.152
245,2001,12,11,32,260,5.619,-0.058
246,2001,12,13,16,30,3.436,-0.034
247,2002,3,20,78,4630,8.425,0.015
248,2002,5,23,66,2550,7.899,-0.055
249,2002,6,7,41,550,6.399,-0.09
250,2002,6,7,28,160,5.198,-0.123
251,2002,7,31,65,2780,7.851,0.079
252,2002,8,6,68,2980,7.993,0.007
253,2002,8,7,75,3880,8.302,-0.038
254,2002,8,7,66,2190,7.899,-0.207
255,2002,8,27,58,2120,7.492,0.167
256,2002,8,28,70,3070,8.084,-0.055
257,2002,9,11,76,4520,8.343,0.073
258,2002,10,30,47,960,6.83,0.037
259,2002,11,2,57,1760,7.437,0.036
260,2002,11,17,17,40,3.627,0.062
261,2002,12,2,35,340,5.901,-0.072
262,2002,12,2,38,480,6.16,0.014
263,2003,1,5,35,400,5.901,0.09
264,2003,1,6,55,1390,7.325,-0.088
265,2003,1,7,33,320,5.716,0.053
266,2003,4,10,77,4910,8.385,0.115
267,2003,4,10,61,2000,7.651,-0.05
268,2003,5,2,67,2950,7.946,0.043
269,2003,6,8,51,1080,7.087,-0.102
270,2003,7,24,86,5610,8.733,-0.1
271,2003,8,27,64,2570,7.802,0.05
272,2003,8,29,60,2200,7.599,0.097
273,2003,9,9,45,870,6.693,0.076
274,2003,9,9,45,720,6.693,-0.113
275,2003,9,17,62,2550,7.702,0.142
276,2003,11,27,46,890,6.762,0.029
277,2003,12,9,39,500,6.242,-0.027
278,2003,12,11,18,40,3.807,-0.118
279,2003,12,16,41,620,6.399,0.03
280,2004,1,11,14,20,3.015,-0.019
281,2004,1,13,37,440,6.076,0.011
282,2004,1,24,16,30,3.436,-0.034
283,2004,1,29,40,480,6.322,-0.148
284,2004,6,13,19,50,3.977,-0.065
285,2004,6,22,61,2420,7.651,0.141
286,2004,7,28,58,2000,7.492,0.109
287,2004,8,4,61,2250,7.651,0.068
288,2004,8,17,59,2360,7.546,0.221
289,2004,10,28,24,140,4.713,0.229
290,2004,11,11,33,320,5.716,0.053
291,2004,11,17,47,1070,6.83,0.146
292,2004,12,7,17,40,3.627,0.062
293,2004,12,9,36,440,5.99,0.097
294,2004,12,12,19,50,3.977,-0.065
295,2004,12,13,36,430,5.99,0.074
296,2005,6,23,24,120,4.713,0.075
297,2005,6,28,26,160,4.965,0.11
298,2005,7,2,61,1880,7.651,-0.112
299,2005,7,4,71,3460,8.129,0.02
300,2005,7,20,36,510,5.99,0.245
301,2005,7,20,37,470,6.076,0.077
302,2005,7,27,75,3410,8.302,-0.167
303,2005,11,3,38,560,6.16,0.168
304,2005,11,9,26,150,4.965,0.046
305,2005,11,24,35,380,5.901,0.039
306,2005,11,27,43,780,6.549,0.11
307,2005,11,29,26,150,4.965,0.046
308,2005,12,14,15,30,3.232,0.169
309,2006,1,8,46,930,6.762,0.073
310,2006,5,26,46,800,6.762,-0.077
311,2006,6,22,13,10,2.782,-0.479
312,2006,6,22,27,180,5.084,0.109
313,2006,7,11,68,2920,7.993,-0.014
314,2006,7,20,59,2080,7.546,0.094
315,2006,8,2,55,1840,7.325,0.193
316,2006,8,7,60,2090,7.599,0.046
317,2006,8,9,48,960,6.896,-0.029
318,2006,8,21,54,1450,7.267,0.012
319,2006,9,6,38,570,6.16,0.185
320,2006,9,13,49,1140,6.961,0.078
321,2006,11,6,29,210,5.309,0.038
322,2006,11,9,44,660,6.622,-0.13
323,2006,11,15,56,1510,7.381,-0.062
324,2006,11,17,50,1140,7.025,0.014
325,2006,12,3,15,20,3.232,-0.237
326,2006,12,9,15,30,3.232,0.169
327,2007,3,2,54,1600,7.267,0.111
328,2007,7,13,56,1850,7.381,0.141
329,2007,7,13,54,1590,7.267,0.105
330,2007,7,23,45,680,6.693,-0.171
331,2007,7,23,57,1870,7.437,0.096
332,2007,11,3,19,50,3.977,-0.065
333,2007,11,18,29,230,5.309,0.129
334,2007,11,23,20,70,4.139,0.11
335,2007,11,28,80,4910,8.505,-0.006
336,2007,11,30,19,60,3.977,0.117
337,2007,11,30,25,140,4.841,0.1
338,2007,11,30,22,90,4.439,0.061
339,2007,12,8,54,1440,7.267,0.005
340,2007,12,8,41,600,6.399,-0.003
341,2007,12,8,47,1030,6.83,0.108
342,2007,12,11,53,1420,7.208,0.05
343,2007,12,15,63,2430,7.752,0.043
344,2007,12,16,64,2740,7.802,0.114
345,2007,12,16,37,440,6.076,0.011
346,2008,3,1,32,300,5.619,0.085
347,2008,3,3,52,1260,7.148,-0.009
348,2008,3,3,40,600,6.322,0.075
349,2008,3,6,42,630,6.475,-0.03
350,2008,6,4,26,150,4.965,0.046
351,2008,7,2,58,1820,7.492,0.015
352,2008,7,10,58,2030,7.492,0.124
353,2008,7,10,56,1650,7.381,0.027
354,2008,7,28,78,4600,8.425,0.009
355,2008,7,29,66,2640,7.899,-0.02
356,2008,11,11,17,30,3.627,-0.225
357,2008,11,21,25,140,4.841,0.1
358,2008,11,26,71,3470,8.129,0.023
359,2008,12,7,23,110,4.579,0.122
360,2009,7,10,70,2660,8.084,-0.198
361,2009,7,21,62,2400,7.702,0.081
362,2009,7,21,78,3790,8.425,-0.185
363,2009,11,26,20,60,4.139,-0.044
364,2009,12,12,84,5790,8.659,0.005
365,2009,12,12,72,3110,8.173,-0.131
366,2010,6,11,38,440,6.16,-0.073
367,2010,6,17,25,150,4.841,0.169
368,2010,6,22,29,190,5.309,-0.062
369,2010,6,23,26,140,4.965,-0.023
370,2010,7,13,67,2290,7.946,-0.21
371,2010,7,28,55,1630,7.325,0.072
372,2010,8,2,77,3570,8.385,-0.204
373,2010,11,6,52,1180,7.148,-0.075
374,2010,11,18,31,290,5.519,0.151
375,2010,11,21,19,60,3.977,0.117
376,2010,11,25,28,190,5.198,0.049
377,2010,11,26,63,2210,7.752,-0.052
378,2010,11,28,50,1140,7.025,0.014
379,2010,11,28,56,1640,7.381,0.021
380,2010,11,28,32,330,5.619,0.18
381,2010,12,5,30,220,5.416,-0.022
382,2010,12,5,73,3380,8.216,-0.091
383,2010,12,5,63,2760,7.752,0.171
384,2010,12,16,41,570,6.399,-0.054
385,2010,12,19,18,50,3.807,0.105
386,2011,6,8,48,890,6.896,-0.105
387,2011,6,9,30,230,5.416,0.022
388,2011,6,20,62,1980,7.702,-0.111
389,2011,6,21,47,960,6.83,0.037
390,2011,6,22,46,880,6.762,0.018
391,2011,7,12,60,2100,7.599,0.051
392,2011,7,14,78,4270,8.425,-0.066
393,2011,7,27,65,2500,7.851,-0.027
394,2011,8,18,71,3170,8.129,-0.068
395,2011,9,13,61,2260,7.651,0.072
396,2011,11,18,68,3220,7.993,0.084
397,2011,12,8,27,170,5.084,0.052
398,2011,12,11,70,3350,8.084,0.032
399,2012,6,8,46,830,6.762,-0.04
400,2012,6,16,25,160,4.841,0.234
401,2012,7,11,55,1260,7.325,-0.186
402,2012,7,24,52,1720,7.148,0.302
403,2012,11,5,44,840,6.622,0.111
404,2012,11,6,37,460,6.076,0.055
405,2012,11,7,20,60,4.139,-0.044
406,2012,11,17,36,430,5.99,0.074
407,2012,11,19,37,530,6.076,0.197
408,2012,11,22,48,1000,6.896,0.012
409,2012,11,26,52,1270,7.148,-0.001
410,2012,11,29,47,980,6.83,0.058
411,2012,12,2,53,1400,7.208,0.036
412,2012,12,3,95,9790,9.046,0.143
413,2012,12,5,23,90,4.579,-0.079
414,2012,12,15,64,2500,7.802,0.022
415,2012,12,20,67,3110,7.946,0.096
416,2013,6,16,19,50,3.977,-0.065
417,2013,6,17,58,1800,7.492,0.004
418,2013,6,19,47,920,6.83,-0.005
419,2013,6,20,92,9160,8.945,0.177
420,2013,7,23,57,1910,7.437,0.118
421,2013,7,30,87,5460,8.769,-0.164
422,2013,8,16,74,4380,8.259,0.125
423,2013,8,19,60,2010,7.599,0.007
424,2013,10,23,54,1420,7.267,-0.009
425,2013,10,26,42,620,6.475,-0.046
426,2013,11,1,58,1770,7.492,-0.013
427,2013,11,11,73,2950,8.216,-0.227
428,2013,11,18,58,1750,7.492,-0.025
429,2013,11,19,55,1680,7.325,0.102
430,2013,11,25,18,40,3.807,-0.118
431,2013,11,27,72,3450,8.173,-0.027
432,2013,11,27,44,750,6.622,-0.002
433,2014,6,9,18,40,3.807,-0.118
434,2014,6,18,30,220,5.416,-0.022
435,2014,7,14,67,3290,7.946,0.152
436,2014,7,16,67,2710,7.946,-0.042
437,2014,8,17,78,3450,8.425,-0.279
438,2014,8,20,63,2280,7.752,-0.021
439,2014,9,9,64,2450,7.802,0.002
440,2014,10,30,51,1260,7.087,0.052
441,2014,11,14,50,1170,7.025,0.04
442,2014,11,15,52,1460,7.148,0.138
443,2014,11,21,16,30,3.436,-0.034
444,2014,11,28,62,1970,7.702,-0.116
445,2014,11,29,78,5730,8.425,0.228
446,2014,12,7,52,1160,7.148,-0.092
447,2015,1,9,43,720,6.549,0.03
448,2015,10,10,36,440,5.99,0.097
449,2015,10,30,36,420,5.99,0.05
450,2015,11,2,64,2370,7.802,-0.031
451,2015,11,5,27,150,5.084,-0.073
452,2015,11,6,48,1020,6.896,0.032
453,2015,11,13,95,9850,9.046,0.149
454,2015,11,13,30,220,5.416,-0.022
455,2015,11,17,58,1980,7.492,0.099
456,2015,11,18,74,4370,8.259,0.123
457,2015,11,21,33,300,5.716,-0.012
458,2015,11,23,44,660,6.622,-0.13
459,2015,11,28,32,230,5.619,-0.181
460,2015,11,30,73,4430,8.216,0.18
461,2015,12,9,23,100,4.579,0.026
462,2015,12,10,67,2560,7.946,-0.099
463,2016,5,9,12,10,2.53,-0.227
464,2016,5,19,21,80,4.292,0.09
465,2016,6,4,16,30,3.436,-0.034
466,2016,6,10,64,2260,7.802,-0.079
467,2016,6,11,28,170,5.198,-0.062
468,2016,10,28,49,990,6.961,-0.063
469,2016,11,14,30,290,5.416,0.254
470,2016,11,15,16,30,3.436,-0.034
471,2016,11,18,37,450,6.076,0.033
472,2016,11,21,46,800,6.762,-0.077
473,2016,11,26,33,310,5.716,0.021
474,2016,11,30,72,3550,8.173,0.002
475,2016,12,2,31,210,5.519,-0.172
476,2016,12,5,58,1900,7.492,0.058
477,2016,12,11,37,420,6.076,-0.036
478,2016,12,14,80,4090,8.505,-0.189
479,2017,10,27,36,450,5.99,0.119
480,2017,11,2,39,550,6.242,0.068
481,2017,11,3,38,440,6.16,-0.073
482,2017,11,9,50,1100,7.025,-0.021
483,2017,11,10,55,1800,7.325,0.171
484,2017,11,10,52,1320,7.148,0.037
485,2017,11,12,19,60,3.977,0.117
486,2017,11,14,52,1510,7.148,0.172
487,2017,11,14,65,2790,7.851,0.083
488,2017,11,14,44,810,6.622,0.075
489,2017,11,18,63,2130,7.752,-0.089
490,2017,11,25,28,170,5.198,-0.062
491,2017,11,25,40,560,6.322,0.006
492,2018,10,7,42,880,6.475,0.305
493,2018,10,29,44,720,6.622,-0.043
494,2018,11,1,22,80,4.439,-0.057
495,2018,11,3,63,2290,7.752,-0.016
496,2018,11,10,25,130,4.841,0.026
497,2018,12,1,62,1870,7.702,-0.168
498,2018,12,11,51,1220,7.087,0.02
499,2018,12,15,47,910,6.83,-0.016
500,2018,12,15,69,3180,8.039,0.026
